dns.rrname,domain_tld
api.wunderground.com,wunderground.com
stork79.dropbox.com,dropbox.com
hpca-tier2.office.aol.com.ad.aol.aoltw.net,aoltw.net
safebrowsing.clients.google.com.home,home
fxfeeds.mozilla.com,mozilla.com
www.metasploit.com,metasploit.com
aolmtcmxm03.office.aol.com,aol.com
aolmtcmxm02.office.aol.com.ad.aol.aoltw.net,aoltw.net
aolmtcmxm02.office.aol.com,aol.com
hpca-tier2.office.aol.com,aol.com
aolmtcmxm03.office.aol.com.ad.aol.aoltw.net,aoltw.net
aolmtcmxm04.office.aol.com,aol.com
safebrowsing.clients.google.com,google.com
wpad.home,home
safebrowsing.clients.google.com.stayonline.net,stayonline.net
aolmtcmxm04.office.aol.com.ad.aol.aoltw.net,aoltw.net
AOLDTCMA04.ad.aol.aoltw.net.office.aol.com,aol.com
AOLDTCMA04.office.aol.com,aol.com
192.168.22.110phpmyadmin,110phpmyadmin
secure.informaction.com,informaction.com
secure.informaction.com.localdomain,localdomain
safebrowsing.clients.google.com.localdomain,localdomain
ueip.vmware.com,vmware.com
en-us.fxfeeds.mozilla.com,mozilla.com
192.168.22.110phpmyadmin.localdomain,localdomain
time.windows.com,windows.com
softwareupdate.vmware.com,vmware.com
proxim.ntkrnlpa.info,ntkrnlpa.info
portswigger.net,portswigger.net
www.offensive-security.com,offensive-security.com
www.offensive-security.com.stayonline.net,stayonline.net
www.stopbadware.org,stopbadware.org
AOLDTCMA04.ad.aol.aoltw.net,aoltw.net
gg.arrancar.org,arrancar.org
www.sql-ledger.org,sql-ledger.org
www.backtrack-linux.org,backtrack-linux.org
www.backtrack-linux.org.stayonline.net,stayonline.net
en-us.start3.mozilla.com,mozilla.com
www.theanime.cn,theanime.cn
www.theanime.cn. ,theanime.cn
wpad.aol.aoltw.net,aoltw.net
wpad.aoltw.net,aoltw.net
tools.google.com.ad.aol.aoltw.net,aoltw.net
safebrowsing.clients.google.com.hackerlabs.vpn,vpn
secure.informaction.com.stayonline.net,stayonline.net
wpad.ad.aol.aoltw.net,aoltw.net
knoa-coll.ops.aol.com,aol.com
knoa-coll.ops.aol.com.ad.aol.aoltw.net,aoltw.net
www.phpmyadmin.net,phpmyadmin.net
tools.google.com,google.com
toolbarqueries.clients.google.com,google.com
teredo.ipv6.microsoft.com,microsoft.com
secure.informaction.com.home,home
toolbarqueries.clients.google.com.ad.aol.aoltw.net,aoltw.net
secure.informaction.com.hsd1.pa.comcast.net,comcast.net
clients1.google.com,google.com
clients1.google.com.ad.aol.aoltw.net,aoltw.net
ntp.ubuntu.com,ubuntu.com
en-us.www.mozilla.com,mozilla.com
data.alexa.com,alexa.com
www.postgresql.org,postgresql.org
sourceforge.net,sourceforge.net
www.freepbx.org,freepbx.org
secure.informaction.com.hackerlabs.vpn,vpn
www.bigflickrfeed.com,bigflickrfeed.com
www.gnu.org,gnu.org
wpad,wpad
safebrowsing.clients.google.com.lan,lan
www.google.com,google.com
safebrowsing.clients.google.com.hsd1.pa.comcast.net,comcast.net
phppgadmin.sourceforge.net,sourceforge.net
"""192.168.206.56""","56"""
freepbx.org,freepbx.org
erp.acunetix.com,acunetix.com
www.acunetix.com,acunetix.com
go.microsoft.com,microsoft.com
download.windowsupdate.com,windowsupdate.com
www.update.microsoft.com,microsoft.com
api.flickr.com,flickr.com
widgets.alexa.com,alexa.com
download.microsoft.com,microsoft.com
safebrowsing.clients.google.com.office.aol.com,aol.com
www.malwarecity.com,malwarecity.com
api.facebook.com,facebook.com
www.sql-ledger.org.hsd1.pa.comcast.net,comcast.net
www.offensive-security.com.hsd1.pa.comcast.net,comcast.net
www.securityfocus.com,securityfocus.com
sync.xmarks.com,xmarks.com
192.168.26-27.0,0
www.cakephp.org,cakephp.org
ky.hec.net,hec.net
google.com,google.com
mirrors.adams.net,adams.net
mirror.its.uidaho.edu,uidaho.edu
mirrors.cat.pdx.edu,pdx.edu
mirror.clarkson.edu,clarkson.edu
mirror.rackspace.com,rackspace.com
mirrors.ecvps.com,ecvps.com
centos.cs.wisc.edu,wisc.edu
centos.mirror.facebook.net,facebook.net
mirrors.easynews.com,easynews.com
mirrors.bluehost.com,bluehost.com
centos.mirror.netriplex.com,netriplex.com
mirror.stanford.edu,stanford.edu
mirrors.tummy.com,tummy.com
mirror.ash.fastserv.com,fastserv.com
mirrors.kernel.org,kernel.org
mirror.hmc.edu,hmc.edu
mirrors.liquidweb.com,liquidweb.com
mirror.5ninesolutions.com,5ninesolutions.com
mirror.san.fastserv.com,fastserv.com
updates.interworx.info,interworx.info
ftp.wallawalla.edu,wallawalla.edu
mirror.sanctuaryhost.com,sanctuaryhost.com
mirror.team-cymru.org,team-cymru.org
mirror.umoss.org,umoss.org
mirrors.gigenet.com,gigenet.com
mirrors.xmission.com,xmission.com
repo.genomics.upenn.edu,upenn.edu
centos.mirrors.tds.net,tds.net
mirror.nyi.net,nyi.net
mirror.atlantic.net,atlantic.net
ftp.usf.edu,usf.edu
mirror.rocketinternet.net,rocketinternet.net
mirrors.rit.edu,rit.edu
clients5.google.com,google.com
FL,FL
www.apple.com,apple.com
internalcheck.apple.com,apple.com
cloud.xmarks.com,xmarks.com
www.metasploit.com.office.aol.com,aol.com
saruman,saruman
clients2.google.com,google.com
192.168.21.1201.stayonline.net,stayonline.net
clients2.google.com.ad.aol.aoltw.net,aoltw.net
192.168.21.1201,1201
,
fileservices.me.com,me.com
configuration.apple.com,apple.com
r1s6i7.connectivity.me.com,me.com
images.apple.com,apple.com
news.google.com,google.com
gdata.youtube.com,youtube.com
aosnotify.me.com,me.com
dns.msftncsi.com,msftncsi.com
kodapp.com,kodapp.com
rc.threatspace.net,threatspace.net
www.msftncsi.com,msftncsi.com
ul.backblaze.com,backblaze.com
www.social-engineer.org,social-engineer.org
activex.microsoft.com,microsoft.com
whitecell.localdomain,localdomain
www.arduino.cc,arduino.cc
secure.informaction.com.office.aol.com,aol.com
www.mac.com,mac.com
gfe.nvidia.com,nvidia.com
addons.mozilla.org,mozilla.org
versioncheck.addons.mozilla.org,mozilla.org
idisk.mac.com,mac.com
www.nagios.org,nagios.org
vtlfccmfxlkgifuf.com,vtlfccmfxlkgifuf.com
linkhelp.clients.google.com.ad.aol.aoltw.net,aoltw.net
update.macromates.com,macromates.com
1922.168.22.254,254
linkhelp.clients.google.com,google.com
1922.168.22.254.home,home
192.168.21-28.0,0
ejfodfmfxlkgifuf.xyz,ejfodfmfxlkgifuf.xyz
192.168.21-28.0.home,home
192.168.22.201:,192.168.22.201
aoldtcmds01.office.aol.com,aol.com
aoldtcmds01.office.aol.com.ad.aol.aoltw.net,aoltw.net
ntp.ubuntu.com.localdomain,localdomain
redir.metaservices.microsoft.com,microsoft.com
ocsp.verisign.com,verisign.com
192.168.22.201:.stayonline.net,192.168.22.201
client-software.real.com,real.com
